x_0,x_1,grad_0,grad_1,task,funcalls,nit,warnflag,hessian_0,hessian_1,hessian_2,hessian_3,ppt,fun,target,model,run
0.6805589024621114,7.991945940760993,2.7711166555401967e-05,7.105427400784031e-07,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,15,0,87.46387303306392,-1.8559609293870785,-1.8559609293870785,0.22172188159553882,1,32.18795766387244,delta,delta,0
0.8151762821417979,2.8861707140926773,0.0,-1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,0,59.671240197173525,5.508055459884565,5.508055459884565,2.561253709121869,2,46.59467831301792,delta,delta,0
0.7977764206586504,3.200830266378302,-1.421085464379588e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,9,0,66.00761119914048,3.513183092589448,3.513183092589448,1.842292984833146,3,47.40258643462302,delta,delta,0
0.3322787121675564,4.757501123002326,-4.263256416804591e-06,-1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,8,0,106.42971303156523,4.894617818460168,4.894617818460168,1.1125247945112062,4,40.488189983233596,delta,delta,0
0.29508315819145714,4.4663153871930446,0.0,-1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,0,86.77096047610202,4.938480391293279,4.938480391293279,1.2937963885427943,5,43.557964728872946,delta,delta,0
0.2991961243534017,3.8926932058952084,0.0,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,0,117.57219228935031,4.7521521532692725,4.7521521532692725,1.6836410710045326,6,44.253231314335906,delta,delta,0
0.3318817795894382,1.657385429426935,2.1316282084022956e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,9,0,51.1662490413828,4.879927328894608,4.879927328894608,2.237941380360574,7,63.2000150947285,delta,delta,0
0.12322852508952743,4.116648159420602,0.0,-7.105427400784031e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,9,0,312.03886650128754,17.59454477668177,17.59454477668177,1.2914105636717947,8,49.327707233116215,delta,delta,0
0.7050983318812631,3.2436431591111488,5.684341857518352e-06,-2.131628220235209e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,8,0,41.94479935975179,1.6597878923130216,1.6597878923130216,1.9316012419191022,9,45.661196529170624,delta,delta,0
0.32322874531922463,5.568093233172598,2.842170944536394e-06,7.105427400784031e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,7,0,120.06108517743331,3.6852342325911143,3.6852342325911143,0.8171212669459187,10,37.55842122089652,delta,delta,0
0.09420575100856556,6.705420539806992,-6.252776077980067e-05,-1.4210854801568062e-06,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,10,0,897.3851789330953,18.569105579110428,18.569105579110428,0.5564394759776593,11,46.37093625479346,delta,delta,0
0.2280925366273003,1.7209141234705079,-2.842170944536394e-06,-1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,9,0,29.360826943794514,6.024607120589239,6.024607120589239,2.8101541945293746,12,61.90223727491333,delta,delta,0
0.6154482407752759,10.0,0.0,-0.28374242827959856,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,8,0,108.93959395133119,-1.3515815873909438,-1.3515815873909438,0.15828989970623006,13,20.622458923022045,delta,delta,0
0.046699321791182594,9.381835983443908,-3.41060513107709e-05,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,12,0,4446.823129279225,32.01880082552812,32.01880082552812,0.2462273422192211,14,45.64163238341261,delta,delta,0
0.5099526520333924,6.854578000714011,1.4921397375985675e-05,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,9,0,43.69821382892662,-0.16602491233663727,-0.16602491233663727,0.38537613470769355,15,29.903732431194285,delta,delta,0
0.1844672990102455,7.020903138769378,9.23705556974328e-06,1.4210854801568062e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,12,0,337.8242620533847,5.291139530221741,5.291139530221741,0.5448421787810076,16,36.679654615609486,delta,delta,0
0.9140907474238713,10.0,2.486899562664279e-06,-0.05937401190158984,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,48,14,0,443.44501706400905,-3.602818737792021,-3.602818737792021,0.04779865392380235,17,30.73433375013704,delta,delta,0
0.6036131024896215,6.440195235072414,5.684341857518352e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,12,0,89.21635531457835,0.7103753289311174,0.7103753289311174,0.45933995126063787,18,36.27142583419548,delta,delta,0
0.44829140832590825,2.9650819295258897,-1.421085472268197e-06,-7.105427400784031e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,39,9,0,68.78314865086429,7.043346039738333,7.043346039738333,2.473199622877167,19,50.015216811879185,delta,delta,0
0.6330554400854018,2.987298121106736,0.0,-7.105427400784031e-07,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,0,49.716655581299904,5.938027580755436,5.938027580755436,2.6924952452791504,910,46.52760987341455,delta,delta,0
0.25713389535553655,5.87284114245026,9.947598305877379e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,7,0,303.3856540213936,4.001197802713755,4.001197802713755,0.6745181413416006,911,37.78828665117767,delta,delta,0
